FREQUENCY,INTIMACY,RECENCY,TRUST
1.766342836,0.625935843,0.70134012,0
-0.510455817,-0.926387785,0.70134012,3
-0.581978287,-0.950873046,0.700711332,3
-0.562110936,-0.939178325,0.696467018,3
-0.581978287,-0.953609356,0.692537097,3
-0.570057876,-0.902382045,0.690493536,3
-0.578004818,-0.943356062,0.686406417,3
-0.526349699,-0.924625239,0.681218922,3
-0.597872171,-0.946159697,0.680275741,3
-0.355490463,-0.893253535,0.680118546,3
-0.574031348,-0.940576332,0.678546576,3
-0.597872171,-0.953303672,0.577940589,3
-0.566084406,-0.921643256,0.574482256,3
-0.585951759,-0.951904769,0.574010665,3
-0.593898699,-0.94081364,0.570866731,3
-0.593898699,-0.954282219,0.569451959,3
-0.597872171,-0.947396587,0.567094005,3
-0.597872171,-0.956525097,0.563950068,3
-0.589925229,-0.945884954,0.562063705,3
-0.514429287,-0.924565998,0.555618635,3
-0.566084406,-0.929789604,0.554046665,3
-0.589925229,-0.955225472,0.551531516,3
-0.570057876,-0.943958843,0.540213342,3
-0.597872171,-0.955807376,0.538484177,3
-0.574031348,-0.951289126,0.535654632,3
-0.593898699,-0.955246656,0.517576995,3
-0.581978287,-0.94496285,0.514118665,3
-0.570057876,-0.942512245,0.513961467,3
-0.581978287,-0.944009843,0.5123895,3
-0.589925229,-0.946442254,0.509088365,3
-0.589925229,-0.953026208,0.508459576,3
-0.542243582,-0.947207359,0.508145183,3
-0.601845641,-0.953011979,0.503114883,3
-0.530323171,-0.932179382,0.50280049,3
-0.601845641,-0.956098367,0.502328899,3
-0.597872171,-0.954685938,0.496669814,3
-0.593898699,-0.95336264,0.487080804,3
-0.589925229,-0.95006561,0.486452018,3
-0.514429287,-0.920903813,0.486137622,3
-0.597872171,-0.956188665,0.483779672,3
-0.53827011,-0.94045933,0.480635734,3
-0.589925229,-0.949240993,0.480478536,3
-0.597872171,-0.956323238,0.479220962,3
-0.546217052,-0.938424767,0.477963388,3
-0.597872171,-0.952172241,0.47324748,3
-0.601845641,-0.951669402,0.463501276,3
-0.601845641,-0.956345277,0.345289239,3
-0.554163994,-0.935118675,0.314478655,3
-0.597872171,-0.954865367,0.303160484,3
-0.593898699,-0.955313942,0.294043065,3
-0.597872171,-0.956233522,0.287126404,3
-0.581978287,-0.919965057,0.285397239,3
-0.593898699,-0.948361449,0.278323378,3
-0.593898699,-0.954327076,0.270620735,3
-0.593898699,-0.955448515,0.262918088,3
-0.578004818,-0.948645872,0.261660513,3
-0.578004818,-0.948453693,0.261188923,3
-0.578004818,-0.942664116,0.249084764,3
-0.601845641,-0.942796038,0.245940827,3
-0.601845641,-0.955157019,0.123327279,3
-0.597872171,-0.953422812,0.103363279,3
-0.601845641,-0.954354558,0.09078753,3
-0.593898699,-0.950655327,0.065007246,3
-0.593898699,-0.954618651,0.064535656,3
-0.601845641,-0.954802084,0.047243999,3
-0.597872171,-0.955852233,0.038126583,3
-0.593898699,-0.955022369,0.037969385,3
-0.589925229,-0.955246656,0.031524316,3
-0.601845641,-0.956345277,0.02822318,3
-0.578004818,-0.921227532,-0.149880859,3
-0.601845641,-0.956561325,-0.150509645,3
-0.601845641,-0.956268118,-0.155697143,3
-0.601845641,-0.951221874,-0.157583503,3
-0.601845641,-0.956252685,-0.172674404,3
-0.593898699,-0.955807376,-0.18572174,3
-0.585951759,-0.949796464,-0.203642182,3
-0.597872171,-0.955426088,-0.203956575,3
-0.597872171,-0.955661298,-0.213545585,3
-0.597872171,-0.953217104,-0.353922377,3
-0.597872171,-0.946951779,-0.366655324,3
